Marca;Submarca;Modelo;Trans.;Comb.;Cilindros;Potencia (HP);Tamaño (L);Categoría
CHEVROLET;CRUZE;2015;AUT;Gasolina;4;138;1,4;AUTOS COMPACTOS
MITSUBISHI;ASX;2014;CVT;Gasolina;4;148;2;AUTOS COMPACTOS
MITSUBISHI;ASX;2014;CVT;Gasolina;4;148;2;AUTOS COMPACTOS
MITSUBISHI;ASX;2014;CVT;Gasolina;4;148;2;AUTOS COMPACTOS
VW;CLASICO;2013;MAN;Gasolina;4;115;2;AUTOS COMPACTOS
VW;CLASICO;2014;MAN;Gasolina;4;115;2;AUTOS COMPACTOS
HONDA;FIT;2015;MAN;Gasolina;4;130;1,5;AUTOS COMPACTOS
HONDA;FIT;2015;MAN;Gasolina;4;130;1,5;AUTOS COMPACTOS
VW;BEETLE;2015;MAN;Gasolina;4;210;2;AUTOS COMPACTOS
VW;GOLF;2015;DSG;Gasolina;4;220;2;AUTOS COMPACTOS
